name,description,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,availability_365,review_scores_value,price
Party/Stag Night Guesthouse! 12 Guests! Parking X3,"130m2 on 2 floors for up to 12 guests!<br /><br />You will have the complete building to yourselves! <br /><br />Music can be played at night because the guesthouse is in a commercial area away from residential buildings!<br /><br />Roofed smoking garden!<br /><br />Excellent Wi-Fi, heating & shower - the water is always hot!<br /><br />18 min walk/7min cycle to centre+ 5min on FREE 24hr Ferry.<br /><br />FREE POOL TABLE & DART BOARD!<br /><br />PlayStation 3 & 55"" Smart TV!<br /><br />Free Parking X 3!<br /><br />Kitchen has all utensils & FREE tea & coffee!<br /><br />Rental Bikes available!",Oud-Noord,Entire guesthouse,Entire home/apt,12,1.5,1.0,12.0,"['Private backyard – Fully fenced', 'Outdoor furniture', 'Outdoor dining area', 'Baking sheet']",177,4.56,375.0
New houseboat Cruijff city center,Have you ever wanted to stay on a cosy Dutch boat right near the canals of Amsterdam? This is your perfect chance to experience Amsterdam on the water. Enjoy the small yet comfortable pleasure boat in this picturesque and quiet location in the middle of the famous Jordaan district. An amazing glamping experience on the wate,Centrum-West,Boat,Entire home/apt,4,1.0,1.0,4.0,[],41,4.22,214.0
Cozy home & rooftop near center (6 adults& 2 kids),"Cozy apartment on the top floor of a typical late 1800s building in Amsterdam's lively neighborhood De Pijp, overlooking the beautiful Sarphatipark. Quiet, light, and very private for this area's standards because of its location, with a rooftop terrace. Beware of the STEEP stairs, though - my place is very comfy once inside, but you need to be rather fit and brave to haul your luggage upstairs. Also, note that Dutch houses were not built for hot weather and typically have no A/C.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,"['Outdoor furniture', 'Children’s books and toys', 'Pack ’n play/Travel crib']",37,4.55,264.0
Amsterdam Oasis Hideaway,"Welcome to our cozy Amsterdam spot! Nestled in a quiet residential area, we're just an 8-minute walk from Kraaienest metro station. Super convenient for reaching Schiphol airport, Amsterdam City Centre, Ziggo Dome, Ajax Arena, and Rai. Plus, easy on-street parking for your car. Stay central, stay comfy – your perfect Amsterdam base awaits! Explore, relax, and make yourself at home.",Bijlmer-Oost,Private room in townhouse,Private room,2,1.0,1.0,1.0,[],162,4.47,84.0
Appartement in Amsterdam,"Get away from it all at this tranquil, centrally-located retreat. A few minutes' walk from the Vondelpark. There are many nice restaurants, cafes and shops nearby.",De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Outdoor furniture', 'Blender']",185,4.8,230.0
Studio Apartment - Bens The Highdocks,"This newly built property is located in Amsterdam Noord, just a 15-minute walk from the ferry to Central Station. It features a restaurant (not open yet), working area and free Wi-Fi. The apartments are split over three floors, and are modernly decorated with peaceful beige color decor.",Oud-Noord,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,[],144,4.11,227.0
Artsy and spacious apartment,Our place in the charming Baarsjes is perfect for people looking for a unique and comfortable stay. Our apartment is over 100m2 with big windows and high ceilings and a separate room to work from home. <br /><br />There is a tram-stop next to the apartment which goes directly into the city center. The Vondelpark and Erasmuspark are within walking distance. <br /><br />Please note that this is not a 'professional' airbnb: it is our own home that we are renting out and we ask you to enjoy and treat it accordingly.,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"['Blender', 'Coffee maker: espresso machine', 'Bathtub', 'Free dryer – In unit']",286,5.0,259.0
"Nice family house at the canal, no groups accepted","We live in a lovely house in Amsterdam North, a highly desirable and trendy area of the city. Its prime location is close to the city center and popular neighborhoods like NDSM, as well as restaurants, parks, and a cinema.<br /><br />The house spans three floors and features three spacious bedrooms. It's particularly well-suited for families with children, to make them feel at home.<br /><br />At the top of the house, there's a terrace offering fantastic views. Please note, we do not accept groups.",Oud-Noord,Entire home,Entire home/apt,5,2.5,3.0,3.0,"['Outdoor furniture', 'BBQ grill', 'Canal view', 'Bathtub', 'Free dryer – In unit', 'Outdoor dining area']",18,5.0,389.0
Souterrain Twin Room,This tastefully decorated room has an elegant interior with vintage color accents. The modern walk-in shower has a rain shower head.,Centrum-West,Room in hotel,Private room,2,1.0,1.0,2.0,[],307,4.2,175.0
Apartment overlooking park,"Four years ago, I bought this apartment overlooking the Rembrandtpark and I renovated it with my dad. It has a spacious living room and when you sit on te couch, you only see the water and the trees. <br /><br />It is a very peaceful place, but with everything close by. The busy Kinkerstraat has all the shops you need and is within walking distance. The city centre is only a short tram ride away.<br /><br />Public transport is easily accessible and trams will leave every 7 minutes.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,"['Blender', 'Baking sheet']",7,5.0,165.0
Cute ground floor house Jordaan,"This ground floor house in the Jordaan (central of Amsterdam) is located in a quite little cute street overlooking the canal. It has a big kitchen with dining table, living room, separate bedroom with good bed, bathroom and an outside in front of the house.",Centrum-West,Entire home,Entire home/apt,2,1.0,1.0,0.0,['Outdoor dining area'],39,4.644438018122229,200.0
Cosy family home in the North of Amsterdam,"Cosy place to stay for a family in the peaceful and trendy North of Amsterdam, only 5-10 minutes to the ferry or subway towards the city by bike. It's in a nice family-friendly neighbourhood and close to the lovely Noorderpark. But also easy to acces the busy centre from our place.",Oud-Noord,Entire townhouse,Entire home/apt,2,1.0,2.0,1.0,"['Babysitter recommendations', 'Bathtub', 'Children’s dinnerware', 'Board games']",3,4.69,177.0
Canal House of a Stylist,Lovely family house in a special and quiet part of the city center of Amsterdam. Located on the canal in the middle of 17th century warehouses and shipyards. Two large bedrooms.,Centrum-West,Entire home,Entire home/apt,4,2.0,2.0,2.0,['Canal view'],249,4.644438018122229,495.0
licht en ruim appartement in Amsterdam,"Experience the ultimate convenience in this centrally located apartment, just steps away from the beautiful Vondelpark. Everything you need is within easy reach. The space boasts a fully-equipped kitchen, perfect for preparing your favorite meals, a spacious and modern bathroom, and a private balcony where you can unwind.<br /><br />With the tram, you'll be just 10 minutes away from the vibrant Jordaan district and the lively Leidseplein, making this the perfect base for exploring the city.",De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.0,1.0,1.0,['Outdoor dining area'],12,4.75,150.0
Comfortable houseboat 5,Have you ever wanted to stay on a cosy Dutch pleasure boat right near the canals of Amsterdam? This is your perfect chance to experience Amsterdam on the water. Enjoy the small yet comfortable houseboat in this picturesque and quiet location in the middle of the famous Jordaan district. An amazing glamping experience on the water!,Centrum-West,Boat,Entire home/apt,4,1.0,2.0,3.0,[],36,4.13,209.0
Stay in the pijp,No description,De Pijp - Rivierenbuurt,Private room in condo,Private room,4,1.0,2.0,3.0,"['Free washer – In unit', 'Blender', 'Free dryer – In unit', 'Baking sheet']",235,4.66,321.0
Studio in Amsterdam-West,"This studio offers a quiet place to stay. It's the perfect location to explore Amsterdam.<br />This studio is fully equipped and offers all the amenities you might need for a stay. Close to the city centre, and with plenty of shops, great restaurants and local bars.<br />There is a double sofa bed and a double bed, kitchen and bathroom with shower & toilet.<br />License: Z/24/2406964.U",Bos en Lommer,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,[],47,5.0,149.0
Wildervanck Bed&Breakfast,"Wildervanck Bed&Breakfast is located in a charming 17th-century canal house on the Keizersgracht. Our   comfortable room has a private bathroom with washcloths and towels.  <br />Because of its central location, it is very easy to reach.",Centrum-West,Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,[],289,4.87,165.0
Spacious apartment with allday sun rooftop terrace,"This spacious apartment is the perfect hide away in the city, this sunny and bright apartment has a big rooftop terrace.",De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,2.0,1.0,2.0,"['Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Free dryer – In unit', 'Board games', 'Outdoor dining area']",17,4.55,275.0
Luxury canal view room (self check-in possible),"We are located on the Singel canal in the heart of historic Amsterdam. Touristic hotspots like the Anne Frank House, the Royal Palace on Dam Square and the Rijksmuseum are within walking distance. Enjoy the view from your room on either the peaceful gardens or on the lively Singel canal. We do not serve breakfast. However, coffee and tea making facilities are available in the communal area and there is a wide selection of places that serve breakfast and other meals in the neighborhood.<br /><br />Please note: Because we are located in a historic Canal House in a residential area of the centre where people live, we prefer guests who want to enjoy a quiet stay. If you come to Amsterdam to party all night long, our property may not be the best choice for you.",Centrum-West,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,[],39,4.83,400.0
Citiez Hotel Amsterdam: Small Family Room,"Our stylish hotel offers rooms that each represent a different international city; sleep in Paris, Montreal or Lucerne! Centrally located in a shopping centre (TKMaxx, ICIParis, H&M, McDonald's, 4 supermarkets), FoodMarket (international) and congress centre De Meervaart within walking distance, parking garage (FREE!), direct tram to the centre (15 minutes), direct express bus to Schiphol (15 minutes). Our allDayCafé is open 24/7 for coffees from our baristas and lots of fun!",Osdorp,Room in hotel,Private room,4,1.0,1.0,2.0,[],334,4.48,147.0
Stylish Stay Near Amsterdam's Vibrant Center,"This cozy one-bedroom apartment offers a delightful retreat for your stay in Amsterdam. The space is thoughtfully designed and fully furnished to provide you with everything you need for a comfortable and enjoyable stay. The apartment also includes a well-equipped kitchen.The location of the apartment is truly unbeatable. Situated in West, it provides a central and well-connected base for your Amsterdam adventures. Public transportation options are easily accessible.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],214,4.644438018122229,170.0
Double Room,The extra large bed and modern amenities make this room a great base for a lengthy stay.,Centrum-West,Room in hotel,Private room,2,1.0,1.0,1.0,['High chair'],360,4.24,194.0
Spui's the Limit,"Cozy studio in a typical Amsterdam building, located very centrally near Dam Square and the famous 9 streets district. <br />You will have your own studio with bathroom en toilet. The bathroom and the studio are separated by a shared hallway with me :). But I will respect your privacy and only use the hallway when I come home or leave.",Centrum-West,Private room in rental unit,Private room,2,1.0,0.0,1.0,[],344,4.13,48.0
NEW| Cosy apartment in 9 streets,"This cosy, stylish and authentic apartment is located in the famous nine streets of Amsterdam and just around the corner of dam square and the  famous Jordaan neighborhood!  The building dates back to the 17th century and the apartment includes a queen size bed, sitting area, small kitchenette and private bathroom. Furthermore the space is entirely private and ideal for couples or solo travelers who are ready to explore Amsterdam by foot as most city hot spots are within walking distance!",Centrum-West,Private room in rental unit,Private room,2,1.0,1.0,1.0,[],129,4.42,163.0
Room in Vondelpark apartment,"Enjoy a staying in a centrally located and stylish apartment.<br /><br />It is located on the city side of the Overtoom, an iconic Amsterdam street just a few minutes walk from the Nine Streets shopping district, museum district and Vondelpark (Amsterdam's Central Park).<br /><br />The apartment has a spacious living area and kitchen and a bedroom with a double bed. It has recently been renovated so all the interior and furnishings are brand new.<br /><br />You will be staying with a travel loving 33 year old New Zealander.",De Baarsjes - Oud-West,Private room in condo,Private room,2,0.5,1.0,1.0,[],15,4.6,111.0
Sunny canal house in Oud-West,No description,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,"['Blender', 'Bathtub']",122,4.644438018122229,198.0
Private & Clean apartment next to Vondelpark!,Complete privacy & private entrance <br />Great location - next to famous Vondelpark!<br />Museum district - Van Gogh & Rijksmuseum at 500m<br />Historic 1894 mansion<br />No kitchen! <br />Coffee + tea + fridge<br /><br />★Beautiful high ceiling and  original stained glass windows. Lots of light! This two-bedroom apartment is located in our family building. B&B license apartment.,De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,4,1.0,2.0,4.0,[],291,4.73,438.0
Great Canal Studio - water view & Free Parking,"Family room for a MAX of 4 guests ( infant counts as guest), with free parking space.<br /><br />Studio is on the garden level of our house and has its own private entrance.<br /><br />It has a  bathroom with shower and toilet, a queen bed and a sofa bed.<br /><br />For your convenience a kitchennete with coffee machine, eletric kettle,  toaster, fridge,  microwave, egg boiler. NO STOVE( COOKING IS NOT ALLOWED  by Amsterdam city councill).<br /><br />Towels and linens included.",IJburg - Zeeburgereiland,Private room in guest suite,Private room,4,1.0,0.0,2.0,"['Barbecue utensils', 'Outdoor furniture', 'Canal view', 'Children’s books and toys', 'Children’s dinnerware', 'Board games', 'Outdoor dining area']",96,4.78,163.0
Eco-friendly Triple Room by Vondelpark,No description,Zuid,Room in boutique hotel,Private room,3,1.0,1.0,3.0,[],117,4.56,165.0
LOVELY 2BR GUEST SUITE IN THE HEART OF AMSTERDAM,"Make your stay in Amsterdam complete by staying in this centrally located two bedroom guest suite. <br /><br />You will have full privacy, the two bedrooms, bathroom and sitting area are fully private.<br /><br />You will enter the guest suite through the garage, see picture # 20<br /><br />A parking spot can be booked separately for € 30 per night. <br /><br />Located in the heart of Amsterdam, right at the canals, and within a 5 minute walk of Amsterdam Dam Square, the Anne Frank house and all major sight Amsterdam has to offer.",Centrum-West,Private room in guest suite,Private room,4,1.0,2.0,2.0,['Bathtub'],340,4.57,313.0
groot slaapkamer met een luxe badcel,"It is lighter beautiful bedroom with a double bed, a large lighter and pleasant bathroom with tub with jacuzzi.",Noord-Oost,Private room in home,Private room,2,1.0,1.0,1.0,[],81,4.78,100.0
Large house next to Vondelpark,"This spacious & luxurious house is located next to the iconic Vondelpark, making it the perfect place for families who want to be close to all city's highlights. With 150sqr meters, this house offers plenty of room: two spacious bedrooms, each with its own bathroom, a large kitchen and cozy fireplace<br /><br />But the real highlight of this house is its location. You'll be just a short walk away from some of Amsterdam's best restaurants, cafes & shops, as well as world-famous museums (e.g., Rijksmuseum)",De Baarsjes - Oud-West,Entire home,Entire home/apt,4,3.0,2.0,2.0,"['Outdoor furniture', 'BBQ grill', 'Coffee maker: espresso machine', 'Bathtub', 'Board games', 'Outdoor dining area']",142,4.83,650.0
Private room and bathroom in Coolest Neighbourhood,"A beautiful cozy room in the most fun part of the city with a luxurious private bathroom and its own entrance.<br /><br />The hip NDSM wharf is only 7 bike minutes away, the citycenter 20 minutes (on the ferry) and the interstate a10 only 5 min by car. <br /><br />A nice and quiet place the stay when exploring Amsterdam.",Noord-West,Entire home,Entire home/apt,2,1.0,1.0,1.0,"['Private backyard – Fully fenced', 'Babysitter recommendations', 'Outdoor furniture']",159,4.77,110.0
Spacious Stylish room @ Leidseplein,"The bedroom is modernly decorated and still cozy and has a private bathroom with shower and bathtub. It's located in the true centre of Amsterdam. All the tourist attractions are in walking distance. I you don't know where to go, I will show you! :)",Centrum-Oost,Private room in rental unit,Private room,2,1.5,1.0,1.0,"['Free washer – In unit', 'Outdoor furniture', 'Bathtub']",242,4.74,154.0
Spacious Gem in friendly Amsterdam North,"Well decorated three story house with a big garden at the back which opens up to a common gated playground. Natural materials define our style of decoration, combined with a jungle of plants and many spots to chill out comfortably. You will feel straight at home. Two bikes are included and you are very welcome to have a nice bath after a long day of exploring this great part of Amsterdam and all the rest of our beautiful city.",Noord-Oost,Entire home,Entire home/apt,4,1.0,3.0,2.0,"['Barbecue utensils', 'Private backyard – Fully fenced', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Coffee maker: espresso machine', 'Bathtub', 'Pack ’n play/Travel crib', 'Children’s dinnerware', 'Board games', 'Baking sheet']",63,4.64,250.0
Modern Appartement Amsterdam City View,This centrally located property is tastefully decorated. And has all the amenities to make a great stay succeed.,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,['Blender'],110,4.67,215.0
"Bright, furnished, centrally located appartment","Light, cosy appartment, very suitable for two perons. The appartment is fully furnished and centrally located inbetween the vondel- and rembrandt park. I am very happy to welcome you!",De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.0,1.0,1.0,[],10,4.7,177.0
Lovely 1 bedroom apartment in Amsterdam,This cosy apartment is centered in Amsterdam-Oost. It‘s just a 5min walk to the metro which will bring you right to the city center within another 5 minutes. There‘s also a lot to do in Oost and the Amstel is right around the corner for some nice walks and terraces. <br />The apartment itself is very spacious with an open kitchen and a bar.,Oud-Oost,Entire condo,Entire home/apt,2,1.0,1.0,1.0,[],15,4.644438018122229,179.0
Loft | Plantagebuurt | Amsterdam City Centre,"This loft apartment in the Plantagebuurt in the centre of Amsterdam is the perfect place to stay for couples. You will enjoy spending time and being at home in this stylish apartment, whilst at the same time having all city highlights nearby. The Plantagebuurt is known for its green (as in trees and parks), it's wider set-up with more luxurious houses, its relaxed and bohemian lifestyle, Artis the Zoo and the Hortus Botanicus.",Centrum-Oost,Entire condo,Entire home/apt,2,1.0,1.0,1.0,[],217,4.79,190.0
Spacious groundfloor family home,"This family home is situated in the middle of the Pijp, which makes it a good place to explore the city from. The house is recently renovated and has 1 master bedroom, three children bedrooms and one spare room. The living room is very spacious and cosy, with an open well equipped kitchen.  Rijksmuseum, Albert Cuyp market, tons of restaurants & bars are on walking distance!",De Pijp - Rivierenbuurt,Entire home,Entire home/apt,5,3.0,3.0,1.0,[],70,5.0,375.0
"Light, cozy, centrally-located studio apartment","Studio-apartment in one of Amsterdam's nicest neighbourhoods, including all necessary amenities.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],339,1.0,125.0
Ping Pong Apartment Noord,"The apartment is situated in a quiet residential area. In 15 minutes by bicycle and ferry you are Central Station Amsterdam. The closest metro stop is a 15 minute walk away. You can also discover the countryside: in just 5 minutes cycling along the canal you are at the fields with cows and mills. The famous NDSM, Tolhuistuin and Eye are also just a few minutes away. The apartment is 58 square meters, with a balcony facing the south. Ideal for a couple.",Oud-Noord,Entire condo,Entire home/apt,2,1.0,1.0,1.0,['Coffee maker: espresso machine'],27,4.8,93.0
Bright apartment with a garden,"It's a very nice and cozy apartment located in a peaceful neighborhood in Amsterdam East 15 minutes from the Centre of Amsterdam. The apartment has a very nice, big and sunny garden which is rare in Amsterdam.",Oostelijk Havengebied - Indische Buurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],194,4.77,125.0
Nice-to-haves like free WiFi and 24/7 reception,"Just a 5-minute walk from the Vondelpark, Hotel Espresso offers modern rooms with free WiFi. The Van Gogh Museum, Rijksmuseum, and Leidseplein with their many restaurants and clubs are all within 5 minutes.<br /><br />Comfy, twin or double beds make it tough to get up early. <br />Tucked away from the tourist crowds, yet just a short stroll from all the action in the city centre.<br />PLEASE NOTE THAT THE CITY TAX WILL HAVE TO BE PAID SEPARATELY AT THE HOTEL AND IS NOT INCLUDED",De Baarsjes - Oud-West,Room in hotel,Private room,2,1.0,1.0,1.0,[],57,3.67,109.0
Modern ground floor flat with garden & 1 bedroom,"Cozy and modern (59m2) flat located only 5 minutes by bike from Amsterdam central. Enjoy a coffee on the bench in front of the house or enjoy the sun in the very spacious garden (59m2). Bathroom with toilet, a lovely kitchen/dinning area and a cozy living room area.",De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"['Outdoor dining area', 'BBQ grill']",89,4.644438018122229,250.0
"Bright, balcony, prime location",We moved in this apartment 2 years ago after falling in love with it. We put a lot of thoughts and efforts in making it a warm place to stay. <br />It is officially a one bedroom but can accommodate 3-4 people by making use of a single futon in the small room or double futon in the living room. Very bright living room as facing south and a spacious balcony outside the bedroom which gets the sun in the end of the afternoon so if you are lucky with the weather you could even dine outside.,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,['Outdoor dining area'],14,4.644438018122229,200.0
Canal View House in 9streets! Private house,Keizer Canal View House in 9streets,Centrum-West,Private room in bed and breakfast,Private room,4,1.0,2.0,2.0,"['Babysitter recommendations', 'High chair']",262,4.59,150.0
Former Rembrandt Workshop 2 Br Canal View Apt,You're in the iconic Jordaan neighbourhood. Everything Amsterdam has to offer is steps from the front door.  You will be directly opposite the Anne-Frank House and the famous Westerkerk. The iconic bell-tower is the tallest structure in the city centre.,Centrum-West,Private room in guest suite,Private room,4,2.5,2.0,2.0,"['Free washer – In unit', 'Outdoor furniture', 'Blender', 'Canal view', 'Bathtub', 'City skyline view', 'Board games']",33,4.95,425.0
Cozy room in central 16th century home,"Super comfortable cozy room with dedicated private bathroom in historical 1670's building right in the heart of the old city centre.<br /><br />Situated with everything within walking distance with are a host of great places to eat, drink & explore nearby.<br /><br />Hosted by long time friendly locals, ready to give you all the secret tips of the city we are ready to help make your Amsterdam experience as comfortable and perfect as possible :)",Centrum-Oost,Private room in home,Private room,2,1.0,1.0,1.0,['Outdoor furniture'],10,4.74,200.0
Water view central appartment,"This centrally located appartment has an amazing view at the water with balcony's on both sides. It is very well located in a quite street with only a 15 minute walk from the famous Albert Cuyp. The nearest tram is a 5 minute walk and there are a lot of shops en restaurants and supermarkets around. <br /><br />The appartment is very bright with a fully equipped kitchen, spacious bathroom including bath tub and shower.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Bathtub', 'Board games', 'Baking sheet']",14,4.67,200.0
Full apartment with amazing rooftop in Amsterdam,"Beautiful apartment on the South side of Amsterdam (Hoofddorppleinbuurt). Within 5 minutes by bike to the Vondelpark and 15 minutes to the Pijp (neighbourhood). Nice restaurants and bars at walking distance. Balcony on the south side of the apartment with morning sun and fully equipped roof terrace with loungeset, BBQ and diner table. <br /><br />Spacious living room, fully equipped kitchen, flatscreen TV, Wifi, Bathtub and separate shower.<br /><br />Affordable parking availability at walking distance.",Zuid,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'BBQ grill', 'Blender', 'Bathtub', 'Free dryer – In unit', 'Outdoor dining area']",2,4.89,200.0
Guest living lobby doubles as co-working space,"The large hipster room offers you extra space and a quiet oasis of well-being for a comfortable stay with us, whether alone or with company. You sleep in a large double bed and enjoy an undisturbed night's rest thanks to the soundproof windows. Furthermore, you will find a flat screen TV with screen mirroring function, so you can connect your mobile device and watch your favorite movies, Invisible sound system, air conditioning and heating, full body mirror, a seating area and a private bathroom",Oostelijk Havengebied - Indische Buurt,Room in hotel,Private room,2,1.0,1.0,1.0,[],11,4.644438018122229,206.0
Luxurieus apartment with garden!,"Luxurieus and stylish apartment with a spacious and sunny garden located in a beautiful and peaceful area next to the Rembrandtpark with great connectivity via tram and bus to the city centre of Amsterdam. Ample parking space right upfront. We have two bedrooms, the second bedroom is located in our chalet in our garden. <br /><br />The Green Egg BBQ is not for rental use.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,['Blender'],260,4.6,361.0
"Lovely, trendy renovated loft. Center Amsterdam","We are happy to welcome you in our lovely, recently renovated apartment in one of Amsterdams most popular areas: Amsterdam Old West! Located within walking distance from the city centre to many attractions such as Vondelpark, Museum district (Rijksmuseum etc), Westermarkt (Anne Frank House), Dam Square, Jordaan and Nine Streets.<br /><br />We also have two entrance tickets to the very popular ‘Stedelijk Museum’ which you can use! Big tip! ;)",De Baarsjes - Oud-West,Entire loft,Entire home/apt,2,1.5,1.0,0.0,"['Outdoor furniture', 'Blender', 'Board games', 'Outdoor dining area', 'Baking sheet']",0,4.75,280.0
City center appartement,"**Charming City-Center Apartment with Spacious Rooftop Terrace and Garden**<br /><br />Enjoy the vibrant city life while having a peaceful retreat with a generous outdoor space.<br /><br />Situated in the city center, you'll be within walking distance to the trendy Jordaan neighborhood, the picturesque Negen Straatjes (Nine Streets), and an array of fantastic restaurants. Our apartment is well-equipped with all the amenities you need for a comfortable stay, including a spacious kitchen and reliable WiFi.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Outdoor dining area', 'BBQ grill']",41,5.0,208.0
